label,offered_qps,run,idx,status,wall_s,queue_time_s,ttft_s,total_time_s,output_tps,prompt_tokens,cached_prompt_tokens,generated_tokens,preemptions
continuous,1.0,2,18,200,0.31536041712388396,0.00034,0.03683,0.30821,114.23411,63,48,32,0
continuous,1.0,2,19,200,0.32763912505470216,0.00061,0.04867,0.32306,112.97489,63,32,32,0
continuous,1.0,2,20,200,0.3459790830966085,0.0008,0.0513,0.3404,107.22797,65,48,32,0
continuous,1.0,2,21,200,0.32530595804564655,0.00027,0.04547,0.32161,112.26163,63,32,32,0
continuous,2.0,0,0,200,0.26076187496073544,0.00122,0.03832,0.25646,142.11432,63,48,32,0
continuous,2.0,0,1,200,0.6473550410009921,0.00055,0.04441,0.63977,52.06927,64,48,32,0
continuous,2.0,0,2,200,0.6479844590649009,0.02825,0.07497,0.64379,54.49911,61,32,32,0
continuous,2.0,0,3,200,0.6405084589496255,0.01342,0.06779,0.6223,55.90473,61,48,32,0
continuous,2.0,0,4,200,0.5433980838861316,0.00157,0.05019,0.53794,63.55677,63,48,32,0
continuous,2.0,0,5,200,0.49851654190570116,0.00079,0.04904,0.48441,71.2036,64,48,32,0
continuous,2.0,0,6,200,0.3853232089895755,0.00187,0.10096,0.35486,122.09397,62,48,32,0
continuous,2.0,0,7,200,0.3228852089960128,0.00034,0.04298,0.32034,111.76832,62,32,32,0
continuous,2.0,0,8,200,0.7599101669620723,0.00048,0.04623,0.75286,43.87,64,48,32,0
continuous,2.0,0,9,200,0.7824767499696463,0.00372,0.04665,0.7574,43.61539,62,32,32,0
continuous,2.0,0,10,200,0.7753726250957698,0.03752,0.09633,0.76822,46.13882,65,48,32,0
continuous,2.0,0,11,200,0.3392820837907493,0.00048,0.05994,0.33664,112.03483,66,32,32,0
continuous,2.0,0,12,200,0.40005625016056,0.0006,0.04932,0.38819,91.48234,64,48,32,0
continuous,2.0,0,13,200,0.3294052919372916,0.00156,0.05561,0.32284,116.0061,65,48,32,0
continuous,2.0,0,14,200,0.3323064998257905,0.00053,0.03989,0.3263,108.23862,62,32,32,0
continuous,2.0,0,15,200,0.34170979214832187,0.00069,0.04396,0.33467,106.63673,62,48,32,0
continuous,2.0,0,16,200,0.6099965418688953,0.00088,0.03561,0.60502,54.4418,64,48,32,0
continuous,2.0,0,17,200,0.5924125839956105,0.00584,0.0486,0.58809,57.46211,65,48,32,0
continuous,2.0,0,18,200,0.33615295798517764,0.00087,0.04337,0.33089,107.81887,63,48,32,0
continuous,2.0,0,19,200,0.38295704196207225,0.00069,0.04094,0.37513,92.76149,63,32,32,0
continuous,2.0,0,20,200,0.35449920897372067,0.00207,0.04929,0.35181,102.47153,65,48,32,0
continuous,2.0,0,21,200,0.5733832498081028,0.00034,0.04065,0.57012,58.54975,63,32,32,0
continuous,2.0,0,22,200,0.5702540830243379,0.00212,0.04912,0.56764,59.7856,65,48,32,0
continuous,2.0,0,23,200,0.42438345798291266,0.01115,0.08352,0.41189,94.40613,66,32,32,0
continuous,2.0,0,24,200,0.7690062499605119,0.00032,0.03554,0.76571,42.45568,64,48,32,0
continuous,2.0,0,25,200,0.7720827078446746,0.0027,0.05494,0.76751,43.5044,65,48,32,0
continuous,2.0,0,26,200,0.7401134169194847,0.01398,0.06535,0.73391,46.36809,62,32,32,0
continuous,2.0,0,27,200,0.31186899985186756,0.0003,0.03843,0.30026,118.39917,62,48,32,0
continuous,2.0,0,28,200,0.3527127499692142,0.00042,0.03877,0.34752,100.40368,64,48,32,0
continuous,2.0,0,29,200,0.46143420902080834,0.00638,0.05565,0.45825,76.99962,65,48,32,0
continuous,2.0,0,30,200,0.4054444581270218,0.00807,0.0575,0.40185,90.02582,63,48,32,0
continuous,2.0,0,31,200,0.3172872920986265,0.00073,0.04073,0.31069,114.83436,63,32,32,0
continuous,2.0,1,0,200,0.7217387498822063,0.00074,0.03975,0.71841,45.67821,63,48,32,0
continuous,2.0,1,1,200,0.7105592500884086,0.00098,0.04232,0.70807,46.56384,64,48,32,0
continuous,2.0,1,2,200,0.6538362910505384,0.01465,0.0657,0.65208,52.86698,61,48,32,0
continuous,2.0,1,3,200,0.6095113328192383,0.01165,0.06724,0.6057,57.57144,61,48,32,0
continuous,2.0,1,4,200,0.46106820786371827,0.00084,0.04397,0.4497,76.40546,63,48,32,0
continuous,2.0,1,5,200,0.7132724579423666,0.01235,0.08524,0.70447,50.06246,64,48,32,0
continuous,2.0,1,6,200,0.762861667200923,0.01103,0.0632,0.74128,45.7176,62,48,32,0
continuous,2.0,1,7,200,0.8825365831144154,0.0076,0.06179,0.87907,37.93042,62,48,32,0
continuous,2.0,1,8,200,0.8459194588940591,0.01726,0.0764,0.84247,40.46659,64,48,32,0
continuous,2.0,1,9,200,0.8038779578637332,0.01196,0.06485,0.79004,42.74735,62,32,32,0
continuous,2.0,1,10,200,0.4226636658422649,0.00129,0.05357,0.42021,84.552,65,48,32,0
continuous,2.0,1,11,200,0.3748362921178341,0.00323,0.06328,0.37118,100.68023,66,32,32,0
continuous,2.0,1,12,200,0.51477220794186,0.00113,0.0487,0.50106,68.52867,64,48,32,0
continuous,2.0,1,13,200,0.4858974579256028,0.00932,0.06314,0.47861,74.61411,65,48,32,0
continuous,2.0,1,14,200,0.4759797500446439,0.00207,0.0461,0.46962,73.19534,62,32,32,0
continuous,2.0,1,15,200,0.4944390831515193,0.01136,0.06652,0.48957,73.27704,62,48,32,0
continuous,2.0,1,16,200,0.3442019580397755,0.00408,0.05405,0.34176,107.74511,64,48,32,0
continuous,2.0,1,17,200,0.32873675017617643,0.00137,0.04583,0.32138,112.50443,65,48,32,0
continuous,2.0,1,18,200,0.5696853748522699,0.00088,0.0463,0.56492,59.77356,63,48,32,0
continuous,2.0,1,19,200,0.6701811249367893,0.00527,0.05174,0.66418,50.61752,63,32,32,0
continuous,2.0,1,20,200,0.6476808751467615,0.00933,0.06255,0.64482,53.23963,65,48,32,0
continuous,2.0,1,21,200,0.41194379213266075,0.01191,0.06279,0.39364,93.69719,63,32,32,0
continuous,2.0,1,22,200,0.3594433329999447,0.003,0.0602,0.3514,106.45548,65,48,32,0
continuous,2.0,1,23,200,0.366410416085273,0.00153,0.07997,0.35746,111.71492,66,32,32,0
continuous,2.0,1,24,200,0.553783374838531,0.00051,0.04647,0.54735,61.89055,64,48,32,0
continuous,2.0,1,25,200,0.5183084169402719,0.00647,0.05712,0.50629,69.0165,65,48,32,0
continuous,2.0,1,26,200,0.3325093330349773,0.00075,0.04421,0.32413,110.74418,62,32,32,0
continuous,2.0,1,27,200,0.379602791974321,0.00143,0.06047,0.37383,98.92561,62,48,32,0
continuous,2.0,1,28,200,0.3612424579914659,0.00151,0.04876,0.34936,103.12634,64,48,32,0
continuous,2.0,1,29,200,0.3187999171204865,0.00118,0.05562,0.31293,120.476,65,48,32,0
continuous,2.0,1,30,200,0.33274304191581905,0.00055,0.04943,0.32849,111.08832,63,48,32,0
continuous,2.0,1,31,200,0.334294541971758,0.00087,0.05569,0.32954,113.20012,63,32,32,0
continuous,2.0,1,32,200,0.35128870885819197,0.00073,0.05201,0.34647,105.27783,65,48,32,0
continuous,2.0,1,33,200,0.32872754195705056,0.0003,0.04329,0.32524,109.94776,63,32,32,0
continuous,2.0,2,0,200,0.6249153329990804,0.00061,0.04322,0.62238,53.5262,63,48,32,0
continuous,2.0,2,1,200,0.9540035419631749,0.00564,0.05908,0.94488,34.99674,64,48,32,0
continuous,2.0,2,2,200,0.9528307081200182,0.0368,0.16025,0.94333,39.58737,61,32,32,0
continuous,2.0,2,3,200,0.9506972499657422,0.03621,0.15973,0.94356,39.54928,61,48,32,0
continuous,2.0,2,4,200,0.9230570830404758,0.00216,0.12575,0.90995,39.53104,63,48,32,0
continuous,2.0,2,5,200,0.6237863749265671,0.01575,0.07501,0.61895,56.99169,64,48,32,0
continuous,2.0,2,6,200,0.8148915409110487,0.00235,0.05143,0.8039,41.19774,62,48,32,0
continuous,2.0,2,7,200,0.8276305000763386,0.04586,0.12763,0.8124,45.27034,62,32,32,0
continuous,2.0,2,8,200,0.7748965830542147,0.00144,0.08312,0.76849,45.231,64,48,32,0
continuous,2.0,2,9,200,0.3232734159100801,0.00084,0.04663,0.31413,115.8911,62,32,32,0
continuous,2.0,2,10,200,0.48588162497617304,0.00068,0.04549,0.47914,71.48679,65,48,32,0
continuous,2.0,2,11,200,0.49216712499037385,0.00371,0.07054,0.48256,75.23971,66,32,32,0
continuous,2.0,2,12,200,0.3675347918178886,0.00281,0.0512,0.36287,99.46488,64,48,32,0
continuous,2.0,2,13,200,0.31133133289404213,0.00082,0.04445,0.30459,119.16756,65,48,32,0
continuous,2.0,2,14,200,0.5187831250950694,0.00075,0.03774,0.51382,65.1143,62,32,32,0
continuous,2.0,2,15,200,0.48076624982059,0.00449,0.05766,0.47505,74.2706,62,48,32,0
